publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2021p733635,earthquake,2021-09-29T10:41:05.234Z,2021-09-29T10:46:19.482Z,175.0137939,-38.01789474,2.512569751,44.10599518,M,,LOCSAT,confirmed,manual,iasp91,15,13,3,0.4808566272,255.9881363,0.8961800474,0
2021p726862,quarry blast,2021-09-26T22:32:12.000Z,2021-09-26T23:01:17.352Z,175.06,-37.61,1.507906445,0,MLv,,,confirmed,manual,,0,0,3,0,0,0.7012541896,0.3855837921
2021p720050,earthquake,2021-09-24T10:02:52.251Z,2021-09-24T10:11:37.678Z,175.0085907,-35.79268265,2.313618684,12,MLv,operator assigned,LOCSAT,confirmed,manual,iasp91,20,15,9,0.5582984686,205.5779877,0.7125784243,0.283060184
2021p719474,quarry blast,2021-09-24T04:56:02.000Z,2021-09-24T05:03:13.100Z,175.06,-37.6105,2.21720533,0,M,,,confirmed,manual,,0,0,5,0,0,0.7941582945,0
2021p716741,earthquake,2021-09-23T04:39:57.372Z,2021-09-23T04:43:54.819Z,175.0354919,-35.80580139,3.142798583,12,M,operator assigned,LOCSAT,confirmed,manual,iasp91,20,16,12,0.5602194667,206.4012146,0.4626745793,0
2021p711367,quarry blast,2021-09-21T04:56:36.000Z,2021-09-21T05:08:57.571Z,175.06,-37.61,1.840075437,0,M,,,confirmed,manual,,0,0,3,0,0,0.5901739792,0
2021p702648,earthquake,2021-09-17T23:31:00.472Z,2021-09-17T23:35:05.149Z,175.1885986,-36.21479034,2.377782156,5,M,operator assigned,LOCSAT,confirmed,manual,iasp91,16,12,8,0.2204975337,152.3051224,0.472460965,0
2021p698535,quarry blast,2021-09-16T10:59:29.000Z,2021-09-16T11:09:04.092Z,175.06,-37.61,1.934535251,0,M,,,confirmed,manual,,0,0,6,0,0,4.838866314,0
2021p625517,earthquake,2021-08-20T10:35:58.205Z,2021-09-16T06:07:08.332Z,173.8156128,-37.42346191,2.636860145,30.54887009,M,,LOCSAT,confirmed,manual,iasp91,33,20,8,0.7515075803,197.4373875,0.3834784557,0
2021p600515,quarry blast,2021-08-11T04:34:28.000Z,2021-08-11T04:44:53.556Z,175.03,-36.96,0.7569777613,0,M,,,confirmed,manual,,0,0,4,0,0,0.8296174307,0
