"","DHB","sex","total","year"
"1","Northland District Health Board","Total","3306","2005"
"2","Northland District Health Board","Male","1827","2005"
"3","Northland District Health Board","Female","1479","2005"
"4","Waitemata District Health Board","Total","15028","2005"
"5","Waitemata District Health Board","Male","8437","2005"
"6","Waitemata District Health Board","Female","6591","2005"
"7","Auckland District Health Board","Total","7270","2005"
"8","Auckland District Health Board","Male","3402","2005"
"9","Auckland District Health Board","Female","3868","2005"
"10","Counties Manukau District Health Board","Total","7282","2005"
"11","Counties Manukau District Health Board","Male","3585","2005"
"12","Counties Manukau District Health Board","Female","3697","2005"
"13","Capital and Coast District Health Board","Total","6395","2005"
"14","Capital and Coast District Health Board","Male","3520","2005"
"15","Capital and Coast District Health Board","Female","2875","2005"
"16","Hutt Valley District Health Board","Total","2828","2005"
"17","Hutt Valley District Health Board","Male","1433","2005"
"18","Hutt Valley District Health Board","Female","1395","2005"
"19","Wairarapa District Health Board","Total","664","2005"
"20","Wairarapa District Health Board","Male","347","2005"
"21","Wairarapa District Health Board","Female","317","2005"
"22","Canterbury District Health Board","Total","10088","2005"
"23","Canterbury District Health Board","Male","5199","2005"
"24","Canterbury District Health Board","Female","4889","2005"
"25","South Canterbury District Health Board","Total","912","2005"
"26","South Canterbury District Health Board","Male","495","2005"
"27","South Canterbury District Health Board","Female","417","2005"
"28","Northland District Health Board","Total","3661","2006"
"29","Northland District Health Board","Male","2025","2006"
"30","Northland District Health Board","Female","1636","2006"
"31","Waitemata District Health Board","Total","16555","2006"
"32","Waitemata District Health Board","Male","9285","2006"
"33","Waitemata District Health Board","Female","7269","2006"
"34","Auckland District Health Board","Total","6824","2006"
"35","Auckland District Health Board","Male","3234","2006"
"36","Auckland District Health Board","Female","3590","2006"
"37","Counties Manukau District Health Board","Total","7885","2006"
"38","Counties Manukau District Health Board","Male","3953","2006"
"39","Counties Manukau District Health Board","Female","3932","2006"
"40","Capital and Coast District Health Board","Total","6273","2006"
"41","Capital and Coast District Health Board","Male","3428","2006"
"42","Capital and Coast District Health Board","Female","2845","2006"
"43","Hutt Valley District Health Board","Total","2942","2006"
"44","Hutt Valley District Health Board","Male","1503","2006"
"45","Hutt Valley District Health Board","Female","1439","2006"
"46","Wairarapa District Health Board","Total","694","2006"
"47","Wairarapa District Health Board","Male","362","2006"
"48","Wairarapa District Health Board","Female","332","2006"
"49","Canterbury District Health Board","Total","10071","2006"
"50","Canterbury District Health Board","Male","5192","2006"
"51","Canterbury District Health Board","Female","4879","2006"
"52","South Canterbury District Health Board","Total","927","2006"
"53","South Canterbury District Health Board","Male","505","2006"
"54","South Canterbury District Health Board","Female","422","2006"
"55","Northland District Health Board","Total","3876","2007"
