"","X","city","year","number_of_eq","average_mag","max_mag","sex","total","Total.Pop","Pop.change","mh.change","mh.change.rate","pop.change.rate","mh.per.pop"
"1",1,"Auckland",2007,1,4.1,4.1,"Total",38441,1545100,19400,NA,NA,0.012555821629668,0.0248792958384571
"2",2,"Auckland",2010,1,4.255,4.255,"Total",41114,1600200,20300,2673,0.0650143503429489,0.0126859142607174,0.0256930383702037
"3",3,"Auckland",2019,3,4.06830287033333,4.14820937,"Total",65813,1870100,29500,24699,0.375290596082841,0.0157745575102936,0.0351922357093204
"4",4,"Canterbury",2005,5,4.3024,4.7,"Total",11000,531900,NA,NA,NA,NA,0.0206805790562136
"5",5,"Canterbury",2006,3,4.188,4.464,"Total",10998,540000,8100,-2,-0.000181851245681033,0.015,0.0203666666666667
"6",6,"Canterbury",2007,8,4.36875,5.5,"Total",10836,547400,7400,-162,-0.0149501661129568,0.0135184508586043,0.0197953964194373
"7",7,"Canterbury",2008,8,4.492625,5,"Total",10501,553800,6400,-335,-0.0319017236453671,0.0115565185987721,0.0189617190321416
"8",9,"Canterbury",2010,150,4.43678,7.2,"Total",12428,567700,7100,1927,0.155053105889926,0.0125066056015501,0.0218918442839528
"9",10,"Canterbury",2011,164,4.37649390243902,6.2,"Total",12769,559300,-8400,341,0.0267053019030464,-0.0150187734668335,0.0228303236188092
"10",11,"Canterbury",2012,46,4.44223549763043,5.475451422,"Total",14153,556000,-3300,1384,0.0977884547445771,-0.00593525179856115,0.025455035971223
"11",12,"Canterbury",2013,10,4.3240644605,4.715072519,"Total",14890,562900,6900,737,0.0494963062458025,0.0122579499022917,0.0264523005862498
"12",13,"Canterbury",2014,7,4.27278882171429,4.503853721,"Total",15509,570600,7700,619,0.0399123089818815,0.0134945671223274,0.027180161233789
"13",14,"Canterbury",2015,12,4.54296265808333,6.233120551,"Total",15543,585600,15000,34,0.00218747989448626,0.0256147540983607,0.0265420081967213
"14",15,"Canterbury",2016,260,4.51686747356538,7.820379733,"Total",16319,601900,16300,776,0.0475519333292481,0.0270809104502409,0.0271124771556737
